Annotation2,Tissue Category,Tissue Area (mm2),NF2+,CD11C+,CD56+,LAG3+,BAP1+,MTAP+,Total Cells
"NMVB2_Meso_Scan1_Core[1,10,B]_[9889,49075]",All,0.36,2440,39,125,67,434,1576,5463
"NMVB2_Meso_Scan1_Core[1,10,C]_[10818,49123]",All,0.36,3132,39,78,50,900,1314,5769
"NMVB2_Meso_Scan1_Core[1,10,D]_[12123,49166]",All,0.36,3696,8,117,364,1014,1565,6408
"NMVB2_Meso_Scan1_Core[1,10,E]_[13012,49173]",All,0.36,642,686,333,81,253,1965,4885
"NMVB2_Meso_Scan1_Core[1,10,F]_[13918,49268]",All,0.36,606,22,67,47,175,1756,5308
"NMVB2_Meso_Scan1_Core[1,10,G]_[14775,49274]",All,0.36,753,22,33,17,139,817,3107
"NMVB2_Meso_Scan1_Core[1,10,H]_[16043,49337]",All,0.36,12072,559,6,1378,453,1226,13717
"NMVB2_Meso_Scan1_Core[1,10,I]_[17006,49452]",All,0.36,586,194,25,17,300,625,2489
"NMVB2_Meso_Scan1_Core[1,10,J]_[17894,49456]",All,0.36,1148,28,103,28,236,898,3385
"NMVB2_Meso_Scan1_Core[1,10,K]_[18823,49527]",All,0.36,795,25,19,19,133,506,2854
"NMVB2_Meso_Scan1_Core[1,10,L]_[19777,49654]",All,0.36,1414,44,33,1437,245,1765,5499
"NMVB2_Meso_Scan1_Core[1,11,A]_[8859,49825]",All,0.36,31,6,6,3,92,442,1745
"NMVB2_Meso_Scan1_Core[1,11,B]_[9770,49885]",All,0.36,1228,33,17,447,1103,1334,4513
"NMVB2_Meso_Scan1_Core[1,11,C]_[10721,49938]",All,0.36,534,3,0,889,503,1009,3099
"NMVB2_Meso_Scan1_Core[1,11,D]_[12035,49994]",All,0.36,561,0,3,0,925,450,3902
"NMVB2_Meso_Scan1_Core[1,11,E]_[12964,50102]",All,0.36,1017,8,6,0,695,553,5808
"NMVB2_Meso_Scan1_Core[1,11,F]_[13822,50150]",All,0.36,584,69,3,3,195,895,4132
"NMVB2_Meso_Scan1_Core[1,11,G]_[14680,50216]",All,0.36,2443,17,6,69,987,1712,4163
"NMVB2_Meso_Scan1_Core[1,11,H]_[16012,50194]",All,0.36,17,8,0,0,89,267,1128
"NMVB2_Meso_Scan1_Core[1,11,I]_[16938,50251]",All,0.36,2395,33,69,197,720,1890,5019
"NMVB2_Meso_Scan1_Core[1,11,J]_[17822,50290]",All,0.36,1865,39,295,167,909,1262,4771
"NMVB2_Meso_Scan1_Core[1,11,K]_[18743,50447]",All,0.36,1025,6,42,11,1501,581,3724
"NMVB2_Meso_Scan1_Core[1,11,L]_[19657,50504]",All,0.36,923,0,44,19,581,973,3271
"NMVB2_Meso_Scan1_Core[1,12,A]_[8859,50630]",All,0.36,44,28,392,0,6,44,656
"NMVB2_Meso_Scan1_Core[1,12,B]_[9746,50660]",All,0.36,1756,6,31,8,1948,848,4007
"NMVB2_Meso_Scan1_Core[1,12,C]_[10626,50743]",All,0.36,1284,17,22,145,78,742,4174
"NMVB2_Meso_Scan1_Core[1,12,D]_[12009,50862]",All,0.36,3804,133,94,1206,336,1854,6069
"NMVB2_Meso_Scan1_Core[1,12,E]_[12869,50936]",All,0.36,389,89,186,150,414,1384,8545
"NMVB2_Meso_Scan1_Core[1,12,F]_[13775,51031]",All,0.36,817,0,53,300,47,1159,5099
"NMVB2_Meso_Scan1_Core[1,12,G]_[14608,51055]",All,0.36,333,56,133,42,33,695,3718
"NMVB2_Meso_Scan1_Core[1,12,H]_[15943,51189]",All,0.36,47,44,536,0,0,131,717
"NMVB2_Meso_Scan1_Core[1,12,I]_[16893,51171]",All,0.36,8,14,3,0,31,64,962
"NMVB2_Meso_Scan1_Core[1,12,J]_[17798,51322]",All,0.36,92,194,161,8,303,503,1806
"NMVB2_Meso_Scan1_Core[1,12,K]_[18625,51332]",All,0.36,203,189,586,0,89,408,3921
"NMVB2_Meso_Scan1_Core[1,12,L]_[19569,51432]",All,0.36,381,472,620,8,89,250,3310
"NMVB2_Meso_Scan1_Core[1,13,B]_[9582,51921]",All,0.36,1081,100,81,0,108,1473,3843
"NMVB2_Meso_Scan1_Core[1,13,C]_[10511,52040]",All,0.36,5399,150,28,6,106,2879,6753
"NMVB2_Meso_Scan1_Core[1,13,D]_[11820,52134]",All,0.36,3073,6,28,31,53,1342,5266
"NMVB2_Meso_Scan1_Core[1,13,E]_[12725,52182]",All,0.36,242,39,56,53,178,1962,4477
"NMVB2_Meso_Scan1_Core[1,13,F]_[13630,52253]",All,0.36,1356,19,69,58,139,1245,5713
"NMVB2_Meso_Scan1_Core[1,13,G]_[14536,52325]",All,0.36,147,11,44,28,153,1037,4035
"NMVB2_Meso_Scan1_Core[1,13,H]_[15830,52436]",All,0.36,372,67,108,3,131,400,578
"NMVB2_Meso_Scan1_Core[1,13,I]_[16736,52459]",All,0.36,923,14,106,33,317,962,3538
"NMVB2_Meso_Scan1_Core[1,13,J]_[17641,52507]",All,0.36,989,17,108,44,242,1637,4969
"NMVB2_Meso_Scan1_Core[1,13,K]_[18546,52602]",All,0.36,709,19,36,22,200,839,3793
"NMVB2_Meso_Scan1_Core[1,13,L]_[19428,52650]",All,0.36,253,0,8,6,42,303,7926
"NMVB2_Meso_Scan1_Core[1,14,A]_[8544,52727]",All,0.36,75,350,183,0,136,814,1878
"NMVB2_Meso_Scan1_Core[1,14,B]_[9534,52827]",All,0.36,256,6,8,3,131,517,3877
"NMVB2_Meso_Scan1_Core[1,14,C]_[10416,52898]",All,0.36,50,11,8,25,86,350,2779
"NMVB2_Meso_Scan1_Core[1,14,D]_[11724,52968]",All,0.36,17,3,3,0,36,122,334
"NMVB2_Meso_Scan1_Core[1,14,E]_[12630,53016]",All,0.36,1976,0,8,19,195,1012,5366
"NMVB2_Meso_Scan1_Core[1,14,F]_[13559,53135]",All,0.36,773,0,11,8,53,320,2495
"NMVB2_Meso_Scan1_Core[1,14,G]_[14488,53182]",All,0.36,1395,31,3,94,861,909,2915
"NMVB2_Meso_Scan1_Core[1,14,H]_[15735,53317]",All,0.36,50,514,183,3,39,1045,1954
"NMVB2_Meso_Scan1_Core[1,14,I]_[16688,53341]",All,0.36,1256,867,364,42,934,911,3715
"NMVB2_Meso_Scan1_Core[1,14,J]_[17570,53389]",All,0.36,1306,47,3,92,753,695,2590
"NMVB2_Meso_Scan1_Core[1,14,K]_[18451,53484]",All,0.36,1520,11,133,17,650,820,3243
"NMVB2_Meso_Scan1_Core[1,14,L]_[19333,53555]",All,0.36,1715,42,122,8,684,1150,3626
"NMVB2_Meso_Scan1_Core[1,15,A]_[8482,53509]",All,0.36,8542,383,22,1817,345,1981,12222
"NMVB2_Meso_Scan1_Core[1,15,B]_[9415,53637]",All,0.36,1726,3,83,6,1042,1512,4021
"NMVB2_Meso_Scan1_Core[1,15,C]_[10368,53732]",All,0.36,4185,178,58,83,1812,848,5344
"NMVB2_Meso_Scan1_Core[1,15,D]_[11653,53826]",All,0.36,3221,72,133,78,2243,1690,4402
"NMVB2_Meso_Scan1_Core[1,15,E]_[12558,53945]",All,0.36,3274,61,42,56,1715,953,4935
"NMVB2_Meso_Scan1_Core[1,15,F]_[13488,53992]",All,0.36,1929,42,17,25,914,934,3335
"NMVB2_Meso_Scan1_Core[1,15,G]_[14393,54064]",All,0.36,2137,3,58,14,745,1187,3888
"NMVB2_Meso_Scan1_Core[1,15,H]_[15664,54151]",All,0.36,7153,1228,56,1034,197,1034,12174
"NMVB2_Meso_Scan1_Core[1,15,I]_[16569,54222]",All,0.36,531,33,94,14,378,1128,5097
"NMVB2_Meso_Scan1_Core[1,15,J]_[17450,54294]",All,0.36,4382,14,161,33,586,1439,5305
"NMVB2_Meso_Scan1_Core[1,15,K]_[18332,54366]",All,0.36,7581,11,22,44,422,1812,8906
"NMVB2_Meso_Scan1_Core[1,15,L]_[19238,54413]",All,0.36,6967,11,145,47,292,2607,8390
"NMVB2_Meso_Scan1_Core[1,16,A]_[8367,54375]",All,0.36,3004,50,272,33,1906,900,4168
"NMVB2_Meso_Scan1_Core[1,16,B]_[9391,54518]",All,0.36,300,3,47,11,150,592,2178
"NMVB2_Meso_Scan1_Core[1,16,C]_[10273,54614]",All,0.36,228,8,22,8,97,761,2740
"NMVB2_Meso_Scan1_Core[1,16,D]_[11558,54779]",All,0.36,639,25,42,25,197,934,3165
"NMVB2_Meso_Scan1_Core[1,16,E]_[12439,54874]",All,0.36,478,8,39,6,114,1034,2926
"NMVB2_Meso_Scan1_Core[1,16,F]_[13392,54922]",All,0.36,856,200,222,8,42,970,2754
"NMVB2_Meso_Scan1_Core[1,16,G]_[14322,54969]",All,0.36,75,28,8,3,19,820,2309
"NMVB2_Meso_Scan1_Core[1,16,H]_[15616,55009]",All,0.36,834,11,186,0,592,378,1745
"NMVB2_Meso_Scan1_Core[1,16,I]_[16474,55080]",All,0.36,86,19,167,50,175,97,5099
"NMVB2_Meso_Scan1_Core[1,16,J]_[17331,55223]",All,0.36,47,131,1225,11,56,108,3576
"NMVB2_Meso_Scan1_Core[1,16,K]_[18213,55223]",All,0.36,39,58,139,31,131,67,4391
"NMVB2_Meso_Scan1_Core[1,16,L]_[19118,55271]",All,0.36,39,25,33,3,83,261,6052
"NMVB2_Meso_Scan1_Core[1,17,A]_[8354,55674]",All,0.64,9251,259,27,381,367,1492,10558
"NMVB2_Meso_Scan1_Core[1,17,B]_[9300,55756]",All,0.64,45,8,2,11,52,272,1552
"NMVB2_Meso_Scan1_Core[1,17,C]_[10183,55899]",All,0.64,1001,27,6,48,14,672,4133
"NMVB2_Meso_Scan1_Core[1,17,D]_[11440,56013]",All,0.64,2035,14,6,23,601,1165,3552
"NMVB2_Meso_Scan1_Core[1,17,E]_[12374,56123]",All,0.64,4426,103,5,44,714,1955,6964
"NMVB2_Meso_Scan1_Core[1,17,F]_[13273,56205]",All,0.64,3844,220,34,56,584,789,6971
"NMVB2_Meso_Scan1_Core[1,17,G]_[14186,56309]",All,0.64,1445,20,17,33,1143,942,3464
"NMVB2_Meso_Scan1_Core[1,17,H]_[15416,56385]",All,0.64,10157,200,11,2210,465,1050,10873
"NMVB2_Meso_Scan1_Core[1,17,I]_[16388,56429]",All,0.64,1257,166,41,64,1270,926,4400
"NMVB2_Meso_Scan1_Core[1,17,J]_[17175,56485]",All,0.64,1567,317,305,31,1034,668,4314
"NMVB2_Meso_Scan1_Core[1,17,K]_[18103,56529]",All,0.64,2,576,3,0,22,30,2519
"NMVB2_Meso_Scan1_Core[1,17,L]_[19094,56490]",All,0.64,2,106,6,0,48,94,2505
"NMVB2_Meso_Scan1_Core[1,18,B]_[9244,56754]",All,0.64,5,19,3,2,42,122,2422
"NMVB2_Meso_Scan1_Core[1,18,C]_[10055,56766]",All,0.64,6279,273,25,450,39,1855,6788
"NMVB2_Meso_Scan1_Core[1,18,D]_[11436,56976]",All,0.64,9160,209,3,1687,198,1000,10626
"NMVB2_Meso_Scan1_Core[1,18,E]_[12323,57055]",All,0.64,848,117,248,0,70,253,1584
"NMVB2_Meso_Scan1_Core[1,18,F]_[13188,57141]",All,0.64,348,100,86,0,86,220,1081
"NMVB2_Meso_Scan1_Core[1,18,G]_[14113,57234]",All,0.64,356,19,309,6,23,178,701
"NMVB2_Meso_Scan1_Core[1,18,H]_[15274,57314]",All,0.64,554,2,59,8,187,286,761
"NMVB2_Meso_Scan1_Core[1,18,I]_[16231,57343]",All,0.64,397,87,100,8,28,487,2516
"NMVB2_Meso_Scan1_Core[1,18,K]_[18110,57452]",All,0.64,2558,111,437,44,1115,344,3400
"NMVB2_Meso_Scan1_Core[1,18,L]_[19022,57405]",All,0.64,2716,37,242,33,873,387,3922
"NMVB2_Meso_Scan1_Core[1,2,B]_[10198,41561]",All,0.64,820,33,56,216,848,1557,4036
"NMVB2_Meso_Scan1_Core[1,2,C]_[11208,41493]",All,0.64,181,27,39,576,940,951,4173
"NMVB2_Meso_Scan1_Core[1,2,D]_[12533,41466]",All,0.64,1378,61,127,61,1064,1126,3761
"NMVB2_Meso_Scan1_Core[1,2,E]_[13436,41452]",All,0.64,628,11,136,50,800,1046,4214
"NMVB2_Meso_Scan1_Core[1,2,F]_[14313,41442]",All,0.64,517,6,42,44,756,1156,3538
"NMVB2_Meso_Scan1_Core[1,2,G]_[15275,41420]",All,0.64,2771,17,217,58,1645,2001,5871
"NMVB2_Meso_Scan1_Core[1,2,H]_[16478,41488]",All,0.64,181,301,89,5,105,715,1656
"NMVB2_Meso_Scan1_Core[1,2,I]_[17435,41547]",All,0.64,1731,5,11,37,703,1429,3157
"NMVB2_Meso_Scan1_Core[1,2,J]_[18282,41599]",All,0.64,1459,2,17,28,854,1431,2501
"NMVB2_Meso_Scan1_Core[1,2,K]_[19136,41617]",All,0.64,1777,5,17,47,369,814,3302
"NMVB2_Meso_Scan1_Core[1,2,L]_[19996,41807]",All,0.64,1806,75,8,125,562,1891,4857
"NMVB2_Meso_Scan1_Core[1,3,A]_[9257,42488]",All,0.64,8392,164,11,415,2109,2143,9053
"NMVB2_Meso_Scan1_Core[1,3,B]_[10203,42453]",All,0.64,2098,37,28,83,1510,1267,4392
"NMVB2_Meso_Scan1_Core[1,3,C]_[11149,42396]",All,0.64,654,0,48,419,2201,1312,2891
"NMVB2_Meso_Scan1_Core[1,3,D]_[12447,42437]",All,0.64,1829,52,195,618,1854,1043,3397
"NMVB2_Meso_Scan1_Core[1,3,E]_[13418,42360]",All,0.64,2477,44,137,325,1854,1598,2807
"NMVB2_Meso_Scan1_Core[1,3,F]_[14253,42362]",All,0.64,1221,8,55,14,1050,920,1959
"NMVB2_Meso_Scan1_Core[1,3,G]_[15200,42404]",All,0.64,1718,50,53,14,926,750,2635
"NMVB2_Meso_Scan1_Core[1,3,H]_[16450,42424]",All,0.64,8570,415,6,554,537,384,9388
"NMVB2_Meso_Scan1_Core[1,3,I]_[17376,42482]",All,0.64,851,17,0,47,542,572,1357
"NMVB2_Meso_Scan1_Core[1,3,J]_[18261,42475]",All,0.64,1270,28,87,37,241,1342,2099
"NMVB2_Meso_Scan1_Core[1,3,K]_[19125,42539]",All,0.64,812,105,237,11,244,918,1998
"NMVB2_Meso_Scan1_Core[1,3,L]_[20010,42647]",All,0.64,2071,14,120,47,309,1154,3310
"NMVB2_Meso_Scan1_Core[1,4,B]_[10156,43640]",All,0.64,30,3,16,9,683,217,3430
"NMVB2_Meso_Scan1_Core[1,4,C]_[11114,43617]",All,0.64,77,184,123,9,825,725,2958
"NMVB2_Meso_Scan1_Core[1,4,D]_[12452,43576]",All,0.64,569,217,465,31,425,390,3800
"NMVB2_Meso_Scan1_Core[1,4,E]_[13321,43574]",All,0.64,1493,22,19,64,458,1538,4373
"NMVB2_Meso_Scan1_Core[1,4,F]_[14258,43623]",All,0.64,2469,44,41,50,618,2315,5071
"NMVB2_Meso_Scan1_Core[1,4,G]_[15150,43645]",All,0.64,847,36,81,53,439,773,3403
"NMVB2_Meso_Scan1_Core[1,4,I]_[17306,43706]",All,0.64,2151,37,12,20,1217,1481,2993
"NMVB2_Meso_Scan1_Core[1,4,J]_[18212,43770]",All,0.64,678,20,30,3,294,761,1704
"NMVB2_Meso_Scan1_Core[1,4,K]_[19162,43880]",All,0.64,2419,3,17,8,358,743,3266
"NMVB2_Meso_Scan1_Core[1,4,L]_[20118,43960]",All,0.64,592,130,4153,5,217,131,7667
"NMVB2_Meso_Scan1_Core[1,5,A]_[9217,44474]",All,0.64,8614,120,33,558,1098,1709,9285
"NMVB2_Meso_Scan1_Core[1,5,B]_[10197,44497]",All,0.64,86,8,297,33,2218,178,7497
"NMVB2_Meso_Scan1_Core[1,5,C]_[11123,44452]",All,0.64,155,31,120,12,851,431,5557
"NMVB2_Meso_Scan1_Core[1,5,D]_[12469,44445]",All,0.64,219,20,31,133,250,1260,2805
"NMVB2_Meso_Scan1_Core[1,5,E]_[13383,44423]",All,0.64,30,47,75,102,253,1120,3238
"NMVB2_Meso_Scan1_Core[1,5,F]_[14249,44499]",All,0.64,123,25,47,151,261,1068,3122
"NMVB2_Meso_Scan1_Core[1,5,G]_[15117,44447]",All,0.64,134,23,151,41,367,851,4294
"NMVB2_Meso_Scan1_Core[1,5,H]_[16401,44564]",All,0.64,6821,631,8,681,167,679,8161
"NMVB2_Meso_Scan1_Core[1,5,I]_[17309,44631]",All,0.64,2,553,264,17,312,398,4309
"NMVB2_Meso_Scan1_Core[1,5,J]_[18234,44696]",All,0.64,3,112,42,28,195,156,3773
"NMVB2_Meso_Scan1_Core[1,5,K]_[19106,44813]",All,0.64,37,2,66,34,116,589,2549
"NMVB2_Meso_Scan1_Core[1,5,L]_[20042,44915]",All,0.64,58,80,237,6,70,650,2305
"NMVB2_Meso_Scan1_Core[1,6,A]_[9215,45297]",All,0.64,1365,16,108,5,803,654,1727
"NMVB2_Meso_Scan1_Core[1,6,B]_[10111,45378]",All,0.64,78,47,22,12,275,770,2618
"NMVB2_Meso_Scan1_Core[1,6,C]_[11137,45359]",All,0.64,754,3,31,2,867,873,1704
"NMVB2_Meso_Scan1_Core[1,6,D]_[12396,45293]",All,0.64,792,0,3,19,723,579,2088
"NMVB2_Meso_Scan1_Core[1,6,E]_[13300,45334]",All,0.64,1026,2,672,3,1100,737,2502
"NMVB2_Meso_Scan1_Core[1,6,F]_[14147,45280]",All,0.64,384,86,178,105,447,362,4306
"NMVB2_Meso_Scan1_Core[1,6,G]_[15099,45358]",All,0.64,80,25,55,39,192,723,3018
"NMVB2_Meso_Scan1_Core[1,6,H]_[16423,45431]",All,0.64,901,12,70,20,250,670,1624
"NMVB2_Meso_Scan1_Core[1,6,I]_[17322,45454]",All,0.64,31,31,66,22,244,365,3494
"NMVB2_Meso_Scan1_Core[1,6,J]_[18226,45547]",All,0.64,564,250,147,175,337,636,1829
"NMVB2_Meso_Scan1_Core[1,6,K]_[19099,45639]",All,0.64,216,95,72,106,597,772,2298
"NMVB2_Meso_Scan1_Core[1,6,L]_[19999,45763]",All,0.64,234,47,5,94,173,506,1404
"NMVB2_Meso_Scan1_Core[1,7,A]_[9212,46149]",All,0.64,1610,25,116,25,1023,825,2348
"NMVB2_Meso_Scan1_Core[1,7,B]_[10120,46217]",All,0.64,6772,53,6,250,2148,1087,7797
"NMVB2_Meso_Scan1_Core[1,7,C]_[11041,46276]",All,0.64,2157,31,14,220,681,1585,4369
"NMVB2_Meso_Scan1_Core[1,7,D]_[12318,46264]",All,0.64,2283,22,5,155,1051,1545,5226
"NMVB2_Meso_Scan1_Core[1,7,E]_[13217,46283]",All,0.64,2521,20,36,831,353,689,3928
"NMVB2_Meso_Scan1_Core[1,7,F]_[14146,46281]",All,0.64,1731,45,3,330,94,940,3883
"NMVB2_Meso_Scan1_Core[1,7,G]_[15061,46298]",All,0.64,1602,61,37,403,362,882,3249
"NMVB2_Meso_Scan1_Core[1,7,H]_[16342,46356]",All,0.64,1681,6,8,9,792,586,2455
"NMVB2_Meso_Scan1_Core[1,7,I]_[17273,46384]",All,0.64,1437,8,20,136,572,975,2187
"NMVB2_Meso_Scan1_Core[1,7,J]_[18235,46412]",All,0.64,2202,247,55,440,503,1351,3232
"NMVB2_Meso_Scan1_Core[1,7,K]_[19082,46511]",All,0.64,2069,422,98,156,365,1164,2888
"NMVB2_Meso_Scan1_Core[1,7,L]_[19977,46679]",All,0.64,34,122,187,0,1317,78,3058
"NMVB2_Meso_Scan1_Core[1,8,A]_[9110,47374]",All,0.36,156,50,25,0,1662,931,4424
"NMVB2_Meso_Scan1_Core[1,8,B]_[10027,47431]",All,0.36,1820,3,14,39,1840,995,5297
"NMVB2_Meso_Scan1_Core[1,8,C]_[10966,47458]",All,0.36,431,28,11,25,2334,695,4874
"NMVB2_Meso_Scan1_Core[1,8,D]_[12271,47431]",All,0.36,3679,58,347,33,723,1312,5127
"NMVB2_Meso_Scan1_Core[1,8,E]_[13155,47481]",All,0.36,3282,17,8,17,445,1231,5169
"NMVB2_Meso_Scan1_Core[1,8,F]_[14013,47505]",All,0.36,2912,6,3,222,584,1417,4716
"NMVB2_Meso_Scan1_Core[1,8,G]_[14897,47637]",All,0.36,1798,128,8,645,520,1384,3971
"NMVB2_Meso_Scan1_Core[1,8,H]_[16125,47661]",All,0.36,456,47,264,8,1389,731,5147
"NMVB2_Meso_Scan1_Core[1,8,I]_[17225,47692]",All,0.36,1634,222,370,278,953,2220,5797
"NMVB2_Meso_Scan1_Core[1,8,J]_[18123,47669]",All,0.36,1084,206,522,189,522,1612,4493
"NMVB2_Meso_Scan1_Core[1,8,K]_[19029,47770]",All,0.36,853,75,283,242,250,998,7428
"NMVB2_Meso_Scan1_Core[1,8,L]_[19888,47921]",All,0.36,953,447,270,103,261,1523,5369
"NMVB2_Meso_Scan1_Core[1,9,A]_[9055,48122]",All,0.36,358,36,11,0,1314,1056,3710
"NMVB2_Meso_Scan1_Core[1,9,B]_[9984,48265]",All,0.36,464,64,56,28,172,1867,5966
"NMVB2_Meso_Scan1_Core[1,9,C]_[10889,48265]",All,0.36,2243,8,31,3,203,1437,3340
"NMVB2_Meso_Scan1_Core[1,9,D]_[12176,48313]",All,0.36,1948,0,28,6,192,1342,3368
"NMVB2_Meso_Scan1_Core[1,9,E]_[13060,48339]",All,0.36,1620,3,36,14,308,1865,3627
"NMVB2_Meso_Scan1_Core[1,9,F]_[13941,48410]",All,0.36,1398,8,25,33,72,2412,6981
"NMVB2_Meso_Scan1_Core[1,9,G]_[14823,48434]",All,0.36,1678,72,39,47,33,1717,6397
"NMVB2_Meso_Scan1_Core[1,9,H]_[16053,48578]",All,0.36,509,72,28,0,636,953,3735
"NMVB2_Meso_Scan1_Core[1,9,I]_[17066,48533]",All,0.36,2020,47,131,72,111,1673,6075
"NMVB2_Meso_Scan1_Core[1,9,J]_[17965,48550]",All,0.36,6,131,128,103,270,1476,8420
"NMVB2_Meso_Scan1_Core[1,9,K]_[18886,48622]",All,0.36,289,200,119,8,331,2270,8729
"NMVB2_Meso_Scan1_Core[1,9,L]_[19800,48789]",All,0.36,94,136,172,22,358,3090,8970
